timestamp,coin,price

2026-03-13 22:22:27,bitcoin,70750.0
2026-03-13 22:22:27,ethereum,2088.09
2026-03-13 22:22:27,dogecoin,0.095838
2026-03-13 22:22:58,bitcoin,70750.0
2026-03-13 22:22:58,ethereum,2088.09
2026-03-13 22:22:58,dogecoin,0.095838
2026-03-13 22:23:29,bitcoin,70714.0
2026-03-13 22:23:29,ethereum,2087.24
2026-03-13 22:23:29,dogecoin,0.095819
2026-03-13 22:24:00,bitcoin,70714.0
2026-03-13 22:24:00,ethereum,2087.24
2026-03-13 22:24:00,dogecoin,0.095819
2026-03-13 22:24:31,bitcoin,70698.0
2026-03-13 22:24:31,ethereum,2086.8
2026-03-13 22:24:31,dogecoin,0.095797
2026-03-13 22:25:02,bitcoin,70698.0
2026-03-13 22:25:02,ethereum,2086.8
2026-03-13 22:25:02,dogecoin,0.095797
2026-03-13 22:25:33,bitcoin,70694.0
2026-03-13 22:25:33,ethereum,2086.59
2026-03-13 22:25:33,dogecoin,0.095771
2026-03-13 22:26:04,bitcoin,70694.0
2026-03-13 22:26:04,ethereum,2086.59
2026-03-13 22:26:04,dogecoin,0.095771
2026-03-13 22:26:36,bitcoin,70676.0
2026-03-13 22:26:36,ethereum,2085.27
2026-03-13 22:26:36,dogecoin,0.095748
2026-03-13 22:27:07,bitcoin,70676.0
2026-03-13 22:27:07,ethereum,2085.27
2026-03-13 22:27:07,dogecoin,0.095748
2026-03-13 22:27:39,bitcoin,70666.0
2026-03-13 22:27:39,ethereum,2084.86
2026-03-13 22:27:39,dogecoin,0.095697
2026-03-13 22:28:10,bitcoin,70666.0
2026-03-13 22:28:10,ethereum,2084.86
2026-03-13 22:28:10,dogecoin,0.095697
2026-03-13 22:28:41,bitcoin,70666.0
2026-03-13 22:28:41,ethereum,2084.35
2026-03-13 22:28:41,dogecoin,0.095695
2026-03-13 22:29:13,bitcoin,70666.0
2026-03-13 22:29:13,ethereum,2084.35
2026-03-13 22:29:13,dogecoin,0.095695
2026-03-13 22:29:44,bitcoin,70665.0
2026-03-13 22:29:44,ethereum,2084.4
2026-03-13 22:29:44,dogecoin,0.095681
2026-03-13 22:30:15,bitcoin,70665.0
2026-03-13 22:30:15,ethereum,2084.4
2026-03-13 22:30:15,dogecoin,0.095681
2026-03-13 22:30:47,bitcoin,70668.0
2026-03-13 22:30:47,ethereum,2083.51
2026-03-13 22:30:47,dogecoin,0.095678
2026-03-13 22:31:18,bitcoin,70668.0
2026-03-13 22:31:18,ethereum,2083.51
2026-03-13 22:31:18,dogecoin,0.095678
2026-03-13 22:31:49,bitcoin,70664.0
2026-03-13 22:31:49,ethereum,2083.01
2026-03-13 22:31:49,dogecoin,0.09566
2026-03-13 22:32:21,bitcoin,70664.0
2026-03-13 22:32:21,ethereum,2083.01
2026-03-13 22:32:21,dogecoin,0.09566
2026-03-13 22:32:52,bitcoin,70641.0
2026-03-13 22:32:52,ethereum,2082.22
2026-03-13 22:32:52,dogecoin,0.095651
2026-03-13 22:33:23,bitcoin,70641.0
2026-03-13 22:33:23,ethereum,2082.22
2026-03-13 22:33:23,dogecoin,0.095651
2026-03-13 22:33:54,bitcoin,70588.0
2026-03-13 22:33:54,ethereum,2080.74
2026-03-13 22:33:54,dogecoin,0.095627
2026-03-13 22:34:26,bitcoin,70588.0
2026-03-13 22:34:26,ethereum,2080.74
2026-03-13 22:34:26,dogecoin,0.095627
2026-03-13 22:34:57,bitcoin,70624.0
2026-03-13 22:34:57,ethereum,2081.69
2026-03-13 22:34:57,dogecoin,0.095646
2026-03-13 22:35:28,bitcoin,70624.0
2026-03-13 22:35:28,ethereum,2081.69
2026-03-13 22:35:28,dogecoin,0.095646
2026-03-13 22:36:00,bitcoin,70703.0
2026-03-13 22:36:00,ethereum,2084.31
2026-03-13 22:36:00,dogecoin,0.095703
2026-03-13 22:36:35,bitcoin,70703.0
2026-03-13 22:36:35,ethereum,2084.31
2026-03-13 22:36:35,dogecoin,0.095703
2026-03-13 22:37:06,bitcoin,70693.0
2026-03-13 22:37:06,ethereum,2083.52
2026-03-13 22:37:06,dogecoin,0.095721
2026-03-13 22:37:37,bitcoin,70693.0
2026-03-13 22:37:37,ethereum,2083.52
2026-03-13 22:37:37,dogecoin,0.095721
2026-03-13 22:38:08,bitcoin,70696.0
2026-03-13 22:38:08,ethereum,2082.73
2026-03-13 22:38:08,dogecoin,0.095748
2026-03-13 22:38:40,bitcoin,70696.0
2026-03-13 22:38:40,ethereum,2082.73
2026-03-13 22:38:40,dogecoin,0.095748
2026-03-13 22:39:11,bitcoin,70669.0
2026-03-13 22:39:11,ethereum,2082.14
2026-03-13 22:39:11,dogecoin,0.095762
2026-03-13 22:39:43,bitcoin,70669.0
2026-03-13 22:39:43,ethereum,2082.14
2026-03-13 22:39:43,dogecoin,0.095762
2026-03-13 22:40:15,bitcoin,70681.0
2026-03-13 22:40:15,ethereum,2082.14
2026-03-13 22:40:15,dogecoin,0.095751
2026-03-13 22:40:46,bitcoin,70681.0
2026-03-13 22:40:46,ethereum,2082.14
2026-03-13 22:40:46,dogecoin,0.095751
2026-03-13 22:41:17,bitcoin,70689.0
2026-03-13 22:41:17,ethereum,2082.46
2026-03-13 22:41:17,dogecoin,0.095745
2026-03-13 22:41:48,bitcoin,70689.0
2026-03-13 22:41:48,ethereum,2082.46
2026-03-13 22:41:48,dogecoin,0.095745
2026-03-13 22:42:19,bitcoin,70720.0
2026-03-13 22:42:19,ethereum,2083.82
2026-03-13 22:42:19,dogecoin,0.095752
2026-03-13 22:42:49,bitcoin,70720.0
2026-03-13 22:42:49,ethereum,2083.82
2026-03-13 22:42:49,dogecoin,0.095752
2026-03-13 22:43:21,bitcoin,70723.0
2026-03-13 22:43:21,ethereum,2083.52
2026-03-13 22:43:21,dogecoin,0.095767
2026-03-13 22:43:52,bitcoin,70723.0
2026-03-13 22:43:52,ethereum,2083.52
2026-03-13 22:43:52,dogecoin,0.095767
2026-03-13 22:44:22,bitcoin,70749.0
2026-03-13 22:44:22,ethereum,2084.03
2026-03-13 22:44:22,dogecoin,0.095793
2026-03-13 22:44:53,bitcoin,70749.0
2026-03-13 22:44:53,ethereum,2084.03
2026-03-13 22:44:53,dogecoin,0.095793
2026-03-13 22:45:24,bitcoin,70751.0
2026-03-13 22:45:24,ethereum,2084.28
2026-03-13 22:45:24,dogecoin,0.095802
2026-03-13 22:45:54,bitcoin,70751.0
2026-03-13 22:45:54,ethereum,2084.28
2026-03-13 22:45:54,dogecoin,0.095802
2026-03-13 22:46:25,bitcoin,70726.0
2026-03-13 22:46:25,ethereum,2083.87
2026-03-13 22:46:25,dogecoin,0.095817
2026-03-13 22:46:56,bitcoin,70726.0
2026-03-13 22:46:56,ethereum,2083.87
2026-03-13 22:46:56,dogecoin,0.095817
2026-03-13 22:47:27,bitcoin,70719.0
2026-03-13 22:47:27,ethereum,2083.49
2026-03-13 22:47:27,dogecoin,0.095812
2026-03-13 22:47:40,bitcoin,70719.0
2026-03-13 22:47:40,ethereum,2083.49
2026-03-13 22:47:40,dogecoin,0.095812
2026-03-13 22:48:03,bitcoin,70719.0
2026-03-13 22:48:03,ethereum,2083.49
2026-03-13 22:48:03,dogecoin,0.095812
2026-03-13 22:48:34,bitcoin,70733.0
2026-03-13 22:48:34,ethereum,2084.26
2026-03-13 22:48:34,dogecoin,0.095813
2026-03-13 22:49:05,bitcoin,70733.0
2026-03-13 22:49:05,ethereum,2084.26
2026-03-13 22:49:05,dogecoin,0.095813
2026-03-13 22:49:36,bitcoin,70759.0
2026-03-13 22:49:36,ethereum,2085.5
2026-03-13 22:49:36,dogecoin,0.095829
2026-03-13 22:50:07,bitcoin,70759.0
2026-03-13 22:50:07,ethereum,2085.5
2026-03-13 22:50:07,dogecoin,0.095829
